ec1	ec2	ec3	ec4	arg	lys	met	phe	fitness
0.20	0.20	0.20	0.4	1.1	1.3	1.8	1.2	0
0.4	0.20	0.05	0.35	1.2	1.8	1.7	1.1	0
0.20	0.20	0.35	0.25	1.1	1.7	1.9	1.9	0
0.7	0.15	0.1	0.05	1.6	1.3	1.6	1.3	0.85508
0.25	0.25	0.25	0.25	1.3	1.1	1.1	1	0
0.45	0.3	0.1	0.15	1.5	1.6	1.9	1.1	0.954522
0.1	0.4	0.1	0.4	1.2	1.2	1.2	1.4	0
0.4	0.1	0.15	0.35	1.4	1.8	1.9	1.2	0.956046
0.3	0.5	0.15	0.05	1.4	1.6	1.7	1.5	0.837936
0.5	0.15	0.1	0.25	1.4	1.9	1.9	1	0.969739
0.35	0.15	0.05	0.45	1.7	1.3	2	1.7	0.901778
0.4	0.3	0.05	0.25	1.4	1.8	1.9	1.1	0
0.20	0.25	0.1	0.45	2	1.8	1.8	1.3	0
0.4	0.20	0.05	0.35	1.3	2	1.7	1.1	0
0.55	0.1	0.20	0.15	1.9	1.6	1.6	1.1	0.947668
0.7	0.15	0.1	0.05	1.8	2	1.6	1	0.973848
0.5	0.25	0.05	0.20	1.8	1.7	1.2	1.4	0.894115
0.7	0.15	0.1	0.05	1.7	1.9	1.6	1.7	0.910516
0.20	0.1	0.3	0.4	1.2	2	1.6	1	0
0.7	0.15	0.1	0.05	1.6	1.9	1.6	1.7	0.93003
0.35	0.20	0.4	0.05	2	1.7	1.9	1.6	0.912271
0.45	0.3	0.15	0.1	1.4	1.9	1.7	1.3	0
0.20	0.1	0.3	0.4	1.2	1.5	1.7	1.8	0
0.4	0.15	0.1	0.35	1.4	1.7	1.9	1.2	0.951261
0.15	0.25	0.5	0.1	1.3	1.4	1.3	1.2	0
0.4	0.1	0.15	0.35	1.4	1.7	1.9	1	0.960071
0.6	0.25	0.05	0.1	1	1.7	1.5	1.6	0
0.75	0.15	0.05	0.05	1.9	2	1.5	1.2	0.864057
0.15	0.35	0.20	0.3	1.2	1.7	1.1	1.3	0
0.55	0.1	0.05	0.3	1.5	2	1.7	1	0.942507
0.20	0.4	0.25	0.15	1.2	1.4	1.1	2	0
0.75	0.1	0.1	0.05	1.8	1.9	1.5	2	0.736843
0.3	0.4	0.05	0.25	1.7	1.1	1.9	1.9	0
0.75	0.15	0.05	0.05	1.6	2	1.5	1.3	0
0.15	0.6	0.05	0.20	1.4	1	1.4	1.2	0
0.5	0.15	0.1	0.25	1.5	1.8	1.6	1.6	0.933305
0.1	0.05	0.5	0.35	2	1.9	1.2	1.5	0
0.55	0.25	0.15	0.05	2	2	1.9	1.9	0.882504
0.45	0.35	0.15	0.05	1.8	1.5	1.2	1.2	0.916855
0.5	0.20	0.1	0.20	2	1.9	1.8	1.5	0.940616
0.35	0.4	0.15	0.1	2	1.2	1.5	1.3	0.898502
0.45	0.20	0.15	0.20	1.5	2	1.5	1.7	0.932703
0.1	0.4	0.25	0.25	1.1	1.1	1	1.8	0
0.45	0.20	0.1	0.25	1.5	1.7	1.6	1.7	0.922302
0.5	0.3	0.1	0.1	1.9	1.5	1.8	1.8	0.904368
0.85	0.05	0.05	0.05	1.6	1.9	1.8	1.2	0
0.20	0.05	0.4	0.35	1.9	1.5	1.9	1	0
0.7	0.15	0.1	0.05	1.4	1.7	1.6	1.3	0.9238
0.15	0.35	0.15	0.35	1.5	1.6	1.1	1.8	0
0.3	0.05	0.1	0.55	1.8	1.8	1.6	1.1	0
0.1	0.4	0.05	0.45	1.6	1.5	1.4	1.1	0
0.25	0.15	0.05	0.55	1.6	1.3	1.1	1.3	0
0.1	0.1	0.15	0.65	1.7	1	1.4	1.2	0
0.25	0.1	0.05	0.6	1.5	1.9	1.2	1.1	0
0.20	0.4	0.1	0.3	1.9	1.7	1	1.7	0
0.3	0.05	0.05	0.6	1.5	2	1.7	1.1	0
0.05	0.05	0.6	0.3	2	1.5	1.8	1.2	0
0.25	0.15	0.05	0.55	1.5	1.7	1.3	1.2	0
0.35	0.1	0.25	0.3	1.2	1	2	2	0
0.3	0.05	0.05	0.6	1.8	1.2	1.7	1.1	0
0.15	0.5	0.3	0.05	1.6	1	1.2	1.3	0
0.25	0.05	0.1	0.6	1.8	1.9	1.5	1.3	0
0.15	0.5	0.15	0.20	1.3	1.5	1.5	1	0
0.25	0.15	0.05	0.55	1.8	1.6	1.7	1.2	0.908297
0.1	0.35	0.4	0.15	1.5	1.2	2	1.1	0
0.5	0.1	0.1	0.3	1.4	1.9	1.6	1.2	0.966838
0.20	0.05	0.7	0.05	1.6	1.5	2	1.6	0
0.35	0.20	0.1	0.35	1.4	2	1.5	1.1	0
0.05	0.3	0.25	0.4	1.5	1	2	1.8	0
0.35	0.1	0.15	0.4	1.5	1.9	1.9	1	0.971338
0.1	0.25	0.25	0.4	1.1	1	1.8	1.8	0
0.35	0.1	0.15	0.4	1.5	2	1.6	1	0.984829
0.35	0.5	0.1	0.05	1.4	1	1.1	1.4	0
0.5	0.15	0.15	0.20	1.4	1.6	1.7	1	0.965014
0.05	0.55	0.15	0.25	1.3	1	1.2	1	0
0.4	0.1	0.05	0.45	1.6	1.5	1.9	1	0.953699
0.20	0.05	0.25	0.5	1.3	1.5	1.9	1	0
0.35	0.20	0.1	0.35	1.7	1.6	1.5	1	0.95697
0.05	0.1	0.5	0.35	1.9	1.1	1.6	1.3	0
0.4	0.1	0.15	0.35	1.8	1.6	1.7	1	0.956665
0.5	0.1	0.1	0.3	1.2	1.2	1.4	1.5	0
0.45	0.15	0.15	0.25	1.9	1.6	1.6	1	0.950032
0.15	0.5	0.3	0.05	1.8	2	1.4	2	0
0.35	0.20	0.1	0.35	1.5	2	1.9	1.8	0
0.4	0.35	0.15	0.1	1.9	1.3	1.5	1.6	0.871457
0.35	0.1	0.1	0.45	1.5	2	1.9	1.8	0.926951
0.20	0.25	0.5	0.05	2	1	1.6	1.8	0
0.65	0.15	0.15	0.05	1.6	1.5	1.7	1	0.929081
0.4	0.45	0.1	0.05	1.7	1.3	1.3	1.1	0
0.35	0.15	0.05	0.45	1.7	1.5	1.5	1	0.868399
0.15	0.05	0.65	0.15	1.6	1.2	2	1.3	0
0.6	0.15	0.05	0.20	1.5	1.5	1.7	1	0.929529
0.15	0.6	0.1	0.15	1	1.7	1.7	1.1	0
0.35	0.20	0.05	0.4	1.5	1.8	1.9	2	0.9058
0.35	0.20	0.15	0.3	1.3	1.1	1.1	1.5	0.859367
0.7	0.15	0.1	0.05	1.5	1.3	1.7	1	0
0.05	0.3	0.55	0.1	1.2	2	1.2	2	0
0.65	0.15	0.15	0.05	1.5	1.3	1.9	1	0
0.05	0.3	0.4	0.25	2	1.1	1.5	1.6	0
0.55	0.20	0.1	0.15	1.5	1.6	1.4	1	0.961053
0.45	0.1	0.15	0.3	1.5	1.8	1.5	1.4	0.913981
0.35	0.1	0.15	0.4	1.5	1.8	1.8	2	0.907977
0.3	0.4	0.05	0.25	1.9	1.7	1.8	2	0
0.35	0.20	0.1	0.35	1.5	1.3	1.9	1.1	0
0.1	0.1	0.05	0.75	1.5	1.4	1.6	1.9	0
0.5	0.20	0.15	0.15	1.8	1.7	1.2	1.2	0.938145
0.20	0.15	0.05	0.6	1.2	1.9	1.2	1.8	0
0.4	0.20	0.1	0.3	2	1.6	1.9	1.6	0.922123
0.4	0.15	0.25	0.20	1	1.1	1.9	1.1	0
0.5	0.20	0.1	0.20	1.6	1.5	1.4	1.6	0.913553
0.45	0.05	0.20	0.3	1.3	1.5	1.7	2	0
0.5	0.20	0.15	0.15	1.6	2	1.4	1.6	0.931121
0.5	0.20	0.25	0.05	1.5	1	1.7	2	0.84555
0.5	0.20	0.15	0.15	1.5	1.9	1	1.5	0.912739
0.05	0.15	0.05	0.75	1.4	1.5	1.5	1.2	0
0.5	0.1	0.1	0.3	2	1.5	1.4	1.6	0.907774
0.05	0.20	0.7	0.05	1.4	1.3	1.1	1.2	0
0.5	0.1	0.15	0.25	1.6	2	1.6	1.6	0
0.20	0.7	0.05	0.05	1.9	1.8	1.5	1.6	0
0.35	0.25	0.1	0.3	1.8	1.8	1.6	1.6	0.928457
0.4	0.4	0.05	0.15	1.4	1.1	1.7	1.7	0
0.6	0.1	0.15	0.15	1.8	1.5	2	1.6	0.918959
0.45	0.05	0.3	0.20	1.9	1.7	2	1.4	0
0.5	0.25	0.1	0.15	1.4	1.6	2	1.4	0.930656
0.05	0.05	0.15	0.75	1.1	1.8	1.1	1	0
0.5	0.20	0.15	0.15	1.5	1.5	1.2	1.6	0.911425
0.05	0.7	0.1	0.15	1.2	1.5	2	2	0.744882
0.65	0.1	0.1	0.15	1.4	1.8	2	1	0.899867
0.3	0.25	0.25	0.20	1.2	2	1.7	1.1	0.90883
0.5	0.20	0.15	0.15	1.5	1.6	1.3	1.8	0.905912
0.1	0.35	0.05	0.5	1.1	1.4	1	1.6	0
0.35	0.15	0.1	0.4	2	1.6	1.7	1.6	0.918112
0.1	0.6	0.25	0.05	1.9	1	1.1	1.9	0.82769
0.35	0.25	0.15	0.25	1.9	1.7	1.5	1.6	0.905682
0.25	0.3	0.35	0.1	1.5	1	1.3	1.8	0
0.45	0.25	0.1	0.20	1.4	1.8	1.4	1	0.920315
0.45	0.05	0.4	0.1	1.8	1.8	1.4	1.1	0
0.5	0.25	0.1	0.15	1.4	1.9	1.9	1.2	0
0.15	0.1	0.1	0.65	1.9	1.2	1.1	1.3	0
0.45	0.25	0.15	0.15	1.4	1.7	1.5	1	0.941184
0.75	0.05	0.15	0.05	1	1	1.2	1.4	0
0.5	0.25	0.1	0.15	1.4	1.7	1.4	1.4	0.939311
0.35	0.3	0.15	0.20	1.7	2	2	1.5	0.919163
0.35	0.20	0.15	0.3	1.5	1.6	1.3	1	0
0.1	0.45	0.05	0.4	1.4	1.8	1.1	1.2	0
0.35	0.15	0.15	0.35	1.4	1.4	1.8	2	0.893066
0.05	0.1	0.8	0.05	1.2	1.4	1.1	1.5	0
0.55	0.25	0.1	0.1	1.4	1.9	1.8	1.1	0.970131
0.15	0.25	0.20	0.4	1.7	1	1.5	1.6	0
0.35	0.1	0.1	0.45	1.4	1.6	1.7	1.8	0.911161
0.20	0.25	0.35	0.20	1.6	1.3	1.9	1.1	0
0.35	0.05	0.15	0.45	1.4	1.6	1.8	1.8	0
0.5	0.05	0.35	0.1	1.5	1.4	1.2	1.7	0
0.45	0.05	0.05	0.45	1.4	1.8	1.3	1.1	0.880384
0.05	0.45	0.25	0.25	1.6	1.7	1.8	1.7	0
0.45	0.05	0.1	0.4	1.4	2	1.2	1.4	0.904825
0.25	0.45	0.25	0.05	1.5	1.7	1.8	1.1	0.835231
0.4	0.25	0.3	0.05	1.7	1.1	1	1	0
0.20	0.45	0.3	0.05	1.1	1.7	1.2	1.7	0.807067
0.5	0.05	0.1	0.35	1.5	1.7	1.1	1.1	0.885932
0.5	0.3	0.15	0.05	1.5	1.2	1.4	1.3	0.881903
0.4	0.1	0.35	0.15	1.9	1.4	1	1.1	0
0.3	0.35	0.05	0.3	2	1.5	1	1.9	0
0.35	0.1	0.35	0.20	1.9	1.2	1	1.1	0
0.15	0.05	0.35	0.45	1	1.5	1.9	1.6	0
0.35	0.05	0.15	0.45	1.6	2	1.6	1.1	0
0.3	0.05	0.35	0.3	1.8	1.4	2	2	0
0.5	0.15	0.15	0.20	1.4	1.4	1.8	1.1	0
0.4	0.15	0.4	0.05	1.9	1.3	1.4	1.9	0
0.35	0.1	0.05	0.5	1.6	1.8	1.5	1.1	0.963999
0.3	0.35	0.3	0.05	1.8	1.5	1.9	1.2	0.839479
0.55	0.15	0.15	0.15	1.9	1.4	2	1	0.938736
0.6	0.05	0.15	0.20	1.3	1.8	1.4	1.3	0
0.35	0.15	0.1	0.4	1.8	1.9	1.9	1.6	0.939024
0.1	0.15	0.25	0.5	1.1	1.3	1.6	1.1	0
0.35	0.15	0.05	0.45	1.6	1.4	1.5	1.5	0.917102
0.05	0.75	0.1	0.1	1.8	2	1.1	1.5	0
0.35	0.20	0.15	0.3	1.6	1.5	1.5	2	0.879808
0.35	0.15	0.25	0.25	1.9	1.8	1.8	1.7	0
0.35	0.05	0.1	0.5	1.8	2	1.7	1.1	0
0.25	0.20	0.25	0.3	2	1.7	1.5	1.1	0
0.65	0.1	0.15	0.1	1.8	1.3	2	1.1	0.877627
0.45	0.25	0.1	0.20	1.2	1.3	1.1	1.9	0.880567
0.45	0.25	0.15	0.15	1.8	1.3	2	1.1	0.938103
0.25	0.4	0.25	0.1	1.7	1.1	1.3	1.9	0.867432
0.35	0.20	0.05	0.4	1.7	1.9	1.9	2	0.913254
0.20	0.55	0.1	0.15	1.4	1.2	2	1.6	0
0.35	0.25	0.1	0.3	1.6	1.9	1.9	1.7	0.905995
0.1	0.05	0.65	0.20	1.5	2	1.3	1.4	0
0.5	0.15	0.05	0.3	1.2	1.1	1.4	1.7	0
0.25	0.1	0.6	0.05	1.5	1.4	2	1.3	0
0.5	0.15	0.05	0.3	1.1	1	1.6	1.4	0.837751
0.1	0.45	0.1	0.35	1.2	1.7	1.1	1.5	0
0.35	0.3	0.05	0.3	1.6	1.5	1.5	1	0
0.20	0.05	0.15	0.6	1.4	1.9	1.5	1.4	0
0.35	0.1	0.05	0.5	1.6	1.8	1.4	1.1	0
0.05	0.25	0.55	0.15	1.1	1.3	1.5	1.8	0
0.55	0.15	0.15	0.15	1.9	1.3	1.6	1	0.935578
0.25	0.15	0.35	0.25	1.1	1	1.6	1.5	0
0.5	0.35	0.05	0.1	1.6	1.9	1.9	1	0
0.15	0.3	0.1	0.45	1	1	2	1.9	0
0.35	0.1	0.05	0.5	1.9	1.6	1.7	1.2	0.94688
0.05	0.45	0.35	0.15	2	1.7	1.8	1.7	0
0.35	0.1	0.05	0.5	1.8	2	2	1.2	0.937402
0.20	0.1	0.3	0.4	1.1	1.4	1.1	1	0
0.35	0.1	0.05	0.5	1.8	1.8	1.5	2	0.902336
0.15	0.25	0.20	0.4	1.4	1.4	1.3	1.5	0
0.35	0.1	0.05	0.5	2	1.9	1.4	1.8	0.887432
0.25	0.3	0.25	0.20	2	1.3	1.4	1.9	0
0.35	0.20	0.15	0.3	1.6	1.5	1.4	1.8	0.905116
0.20	0.55	0.05	0.20	2	1.2	1	1.1	0
0.3	0.15	0.25	0.3	1.9	1.6	1.3	1.8	0
0.15	0.45	0.35	0.05	1.4	1.4	1.3	1	0
0.25	0.15	0.3	0.3	1	1.6	1.7	1.6	0
0.3	0.25	0.3	0.15	1.7	1.1	1.7	1.3	0
0.25	0.1	0.25	0.4	1.4	1.6	1.6	1.6	0
0.45	0.20	0.15	0.20	1.3	1.6	1.3	1.9	0.903557
0.3	0.1	0.20	0.4	1.8	1.6	1.5	2	0
0.20	0.15	0.15	0.5	1.9	1.2	1.5	1.4	0
0.3	0.05	0.25	0.4	2	1.6	1.6	1.5	0
0.55	0.3	0.1	0.05	1.6	1.1	1.2	2	0.788708
0.3	0.05	0.20	0.45	1.7	1.6	1.3	1.8	0
0.45	0.3	0.20	0.05	1.6	1.2	1.5	1.4	0.856025
0.25	0.05	0.4	0.3	1.6	1.6	1.3	1.7	0
0.1	0.1	0.6	0.20	1.5	2	1.9	1.8	0
0.35	0.1	0.15	0.4	1.6	1.4	1.9	1	0.948896
0.45	0.05	0.05	0.45	1.5	1.5	1.5	1	0
0.35	0.1	0.15	0.4	1.4	1.4	2	1.1	0
0.1	0.65	0.20	0.05	1	1.3	2	1.8	0
0.6	0.05	0.15	0.20	1.5	1.7	1.7	1.2	0.785634
0.55	0.20	0.15	0.1	1.8	2	1.3	1.3	0.941863
0.35	0.20	0.1	0.35	1.2	1.5	1.6	1.5	0.924202
0.35	0.1	0.15	0.4	1.2	1.9	1.1	1.2	0
0.45	0.20	0.1	0.25	1.2	1.5	1.6	1.2	0.944365
0.65	0.05	0.15	0.15	2	1.6	1.4	1.6	0.912483
0.4	0.20	0.15	0.25	1.1	1.7	1.5	1.2	0.919797
0.5	0.3	0.1	0.1	2	1.5	2	1.7	0.913182
0.45	0.15	0.05	0.35	1.1	1.3	1.2	1.8	0.869097
0.65	0.1	0.05	0.20	1.8	1.4	1.2	1.1	0.872662
0.6	0.20	0.15	0.05	1	1.8	1.6	1.4	0.888442
0.1	0.1	0.1	0.7	1.3	1.5	1.8	1.4	0
0.35	0.1	0.05	0.5	1.5	1.8	1.5	1.1	0.935366
0.05	0.25	0.1	0.6	1.2	1.2	1	1.7	0
0.6	0.05	0.05	0.3	1.5	2	1.8	1.5	0.897257
0.05	0.3	0.55	0.1	1.9	1.6	1.9	1.5	0
0.35	0.15	0.05	0.45	1.1	1.8	1	1.4	0
0.25	0.5	0.20	0.05	1.6	1	1.2	1.1	0
0.4	0.15	0.05	0.4	1	1.5	1.3	1.3	0
0.1	0.4	0.35	0.15	1	1.5	2	1.4	0
0.6	0.05	0.1	0.25	1.4	2	1.8	1.2	0
0.15	0.20	0.20	0.45	1.9	1.6	1.9	1.4	0
